"GEOID","totalE","ownerE","renterE"
"42101026302",1968,1403,565
"42101026400",2269,1607,662
"42101026500",1729,1254,475
"42101026600",2693,1974,719
"42101026700",2642,1997,645
"42101026800",1991,658,1333
"42101026900",762,449,313
"42101027000",994,643,351
"42101027100",1037,749,288
"42101027200",1907,1313,594
"42101027300",2291,1398,893
"42101027401",1152,409,743
"42101027402",2471,2146,325
"42101027500",1667,1268,399
"42101027600",1894,924,970
"42101027700",2431,1537,894
"42101027800",2065,754,1311
"42101027901",1430,811,619
"42101027902",1178,442,736
"42101028000",1732,1088,644
"42101028100",1823,1352,471
"42101028200",2270,1120,1150
"42101028300",2539,1258,1281
"42101028400",1324,705,619
"42101028500",1112,653,459
"42101028600",2602,1527,1075
"42101028700",766,383,383
"42101028800",1688,1167,521
"42101028901",1246,898,348
"42101028902",2047,1463,584
"42101029000",2107,1378,729
"42101029100",1742,559,1183
"42101029200",1395,1207,188
"42101029300",1393,828,565
"42101029400",1343,615,728
"42101029800",1947,1144,803
"42101029900",1465,664,801
"42101030000",2729,1590,1139
"42101030100",2517,1186,1331
"42101030200",2778,1708,1070
"42101030501",1762,1065,697
"42101030502",1835,1469,366
"42101030600",2930,1753,1177
"42101030700",1961,625,1336
"42101030800",1940,1502,438
"42101030900",1492,812,680
"42101031000",2137,1352,785
"42101031101",1770,807,963
"42101031102",1335,685,650
"42101031200",1810,816,994
"42101031300",2307,898,1409
"42101031401",2064,896,1168
"42101031402",1797,969,828
"42101031501",2320,1327,993
"42101031502",1324,729,595
"42101031600",2146,1490,656
"42101031700",2410,1672,738
"42101031800",1847,1193,654
"42101031900",1855,1151,704
"42101032000",2566,1600,966
"42101032100",1702,739,963
"42101032300",1550,822,728
"42101032500",2558,1405,1153
"42101032600",2801,2193,608
"42101032900",1894,1057,837
"42101033000",3204,1918,1286
"42101033101",1714,1239,475
"42101033102",1570,815,755
"42101033200",1075,837,238
"42101033300",1607,937,670
"42101033400",2063,1127,936
"42101033500",1512,772,740
"42101033600",2609,1282,1327
"42101033701",2481,891,1590
"42101033702",1785,1188,597
"42101033800",2536,1400,1136
"42101033900",1440,758,682
"42101034000",1223,1070,153
"42101034100",2685,1418,1267
"42101034200",1720,654,1066
"42101034400",3023,2809,214
"42101034501",2382,339,2043
"42101034502",2360,979,1381
"42101034600",1328,337,991
"42101034701",2765,2028,737
